date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
2001-07-20,Friendly,Cuba,Jamaica,0,0,Draw,Friendly/Invitationals
2001-07-21,FIFA World Cup qualification,Algeria,Egypt,1,1,Draw,Other Tournaments
2001-07-21,COSAFA Cup,Malawi,South Africa,1,0,Malawi,Regional Tournaments
2001-07-21,FIFA World Cup qualification,Namibia,Senegal,0,5,Senegal,Other Tournaments
2001-07-22,Friendly,Bosnia and Herzegovina,Iran,2,2,Draw,Friendly/Invitationals
2001-07-22,Copa América,Chile,Mexico,0,2,Mexico,Other Tournaments
2001-07-22,Copa América,Uruguay,Costa Rica,2,1,Uruguay,Other Tournaments
2001-07-23,Copa América,Brazil,Honduras,0,2,Honduras,Other Tournaments
2001-07-23,Copa América,Colombia,Peru,3,0,Colombia,Other Tournaments
2001-07-23,Friendly,Saudi Arabia,North Korea,1,0,Saudi Arabia,Friendly/Invitationals
2001-07-24,Friendly,North Macedonia,Qatar,0,1,Qatar,Friendly/Invitationals
2001-07-25,Copa América,Mexico,Uruguay,2,1,Mexico,Other Tournaments
2001-07-26,Copa América,Colombia,Honduras,2,0,Colombia,Other Tournaments
2001-07-27,SKN Football Festival,Jamaica,Martinique,0,0,Draw,Other Tournaments
2001-07-27,FIFA World Cup qualification,Libya,Zambia,2,4,Zambia,Other Tournaments
2001-07-28,FIFA World Cup qualification,Malawi,Zimbabwe,0,1,Zimbabwe,Other Tournaments
2001-07-28,SKN Football Festival,Saint Kitts and Nevis,Martinique,4,2,Saint Kitts and Nevis,Other Tournaments
2001-07-29,Copa América,Uruguay,Honduras,2,2,Draw,Other Tournaments
2001-07-29,FIFA World Cup qualification,Angola,Togo,1,1,Draw,Other Tournaments
2001-07-29,Copa América,Colombia,Mexico,1,0,Colombia,Other Tournaments
2001-07-29,FIFA World Cup qualification,Ivory Coast,DR Congo,1,2,DR Congo,Other Tournaments
2001-07-29,FIFA World Cup qualification,Madagascar,Congo,1,0,Madagascar,Other Tournaments
2001-07-29,FIFA World Cup qualification,Nigeria,Ghana,3,0,Nigeria,Other Tournaments
2001-07-29,Friendly,Oman,Iraq,1,0,Oman,Friendly/Invitationals
2001-07-29,Gold Cup qualification,Panama,Cuba,0,0,Draw,Other Tournaments
2001-07-29,FIFA World Cup qualification,Sudan,Sierra Leone,3,0,Sudan,Other Tournaments
2001-07-30,SKN Football Festival,Saint Kitts and Nevis,Jamaica,0,0,Draw,Other Tournaments
2001-08-01,Friendly,Grenada,Jamaica,2,0,Grenada,Friendly/Invitationals
2001-08-01,Friendly,Qatar,Iran,2,1,Qatar,Friendly/Invitationals
2001-08-01,Friendly,Saudi Arabia,North Macedonia,1,1,Draw,Friendly/Invitationals
2001-08-02,Friendly,United Arab Emirates,Iraq,2,2,Draw,Friendly/Invitationals
2001-08-03,Friendly,China PR,North Korea,2,2,Draw,Friendly/Invitationals
2001-08-03,Friendly,Kuwait,Trinidad and Tobago,1,1,Draw,Friendly/Invitationals
2001-08-04,Friendly,Colombia,Liberia,2,1,Colombia,Friendly/Invitationals
2001-08-05,Friendly,China PR,Trinidad and Tobago,3,0,China PR,Friendly/Invitationals
2001-08-05,Gold Cup qualification,Cuba,Panama,1,0,Cuba,Other Tournaments
